"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
motor_n_occurrences,survey,,radio,"<div class=""rich-text-field-label""><p>How many times has this happened in your life?</p> <ul> <li><span style=""font-weight: normal;"">Count each time a new symptom (or symptoms) began as a different instance</span></li> <li><span style=""font-weight: normal;"">If a symptom was coming and going over short periods, count it as one instance</span></li> <li><span style=""font-weight: normal;"">If a symptom resolved completely for a substantial amount of time then came back, count it as a different instance</span></li> </ul></div>","1, Only once | 2, 2 or 3 times | 3, 4 - 6 times | 4, 7 -10 times | 5, More than 10 times",,,,,,"[motor] = '1'",y,,,,,
motor_duration,survey,,radio,"<div class=""rich-text-field-label""><p>How long did the longest of these symptoms last for?</p> <p><span style=""font-weight: normal;"">Count a symptom that was coming and going over short timeframes as one instance of the symptom.</span></p></div>","1, Less than a minute | 2, A few minutes | 3, More than a few minutes, but less than an hour | 4, More than an hour, but less than a day | 5, One day to one week | 6, One week to one month | 7, One month to three months | 8, Three months to a year | 9, More than a year",,,,,,"[motor] = '1'",y,,,,,
motor_impact,survey,,radio,"<div class=""rich-text-field-label""><p>At their worst, how much did these symptoms impact on your work, education, or social life?</p></div>","1, Not at all | 2, Slightly (eg, felt uncomfortable at work or school, or while socialising) | 3, A little (made work, education, or socialising difficult) | 4, Quite a lot (required up to a few days off work or school, or limited ability to socialise in certain situations) | 5, A lot (required more than a few days off work or school, or significantly limited ability to socialise)",,,,,,"[motor] = '1'",y,,,,,
sensory,survey,,yesno,"<div class=""rich-text-field-label""><p>Have you ever had ""phantom"" sensations that did not occur related to another medical condition?<br><span style=""font-weight: normal;"">This includes both numbness and feelings of things that aren't there, eg pins and needles, vibrations, or wetness.</span></p></div>",,,,,,,,y,,,,,
sensory_n_occurrences,survey,,radio,"<div class=""rich-text-field-label""><p>How many times has this happened in your life?</p> <ul> <li><span style=""font-weight: normal;"">Count each time a new symptom (or symptoms) began as a different instance</span></li> <li><span style=""font-weight: normal;"">If a symptom was coming and going over short periods, count it as one instance</span></li> <li><span style=""font-weight: normal;"">If a symptom resolved completely for a substantial amount of time then came back, count it as a different instance</span></li> </ul></div>","1, Only once | 2, 2 or 3 times | 3, 4 - 6 times | 4, 7 -10 times | 5, More than 10 times",,,,,,"[sensory] = '1'",y,,,,,
sensory_duration,survey,,radio,"<div class=""rich-text-field-label""><p>How long did the longest of these symptoms last for?</p> <p><span style=""font-weight: normal;"">Count a symptom that was coming and going over short timeframes as one instance of the symptom.</span></p></div>","1, Less than a minute | 2, A few minutes | 3, More than a few minutes, but less than an hour | 4, More than an hour, but less than a day | 5, One day to one week | 6, One week to one month | 7, One month to three months | 8, Three months to a year | 9, More than a year",,,,,,"[sensory] = '1'",y,,,,,
sensory_impact,survey,,radio,"<div class=""rich-text-field-label""><p>At their worst, how much did these symptoms impact on your work, education, or social life?</p></div>","1, Not at all | 2, Slightly (eg, felt uncomfortable at work or school, or while socialising) | 3, A little (made work, education, or socialising difficult) | 4, Quite a lot (required up to a few days off work or school, or limited ability to socialise in certain situations) | 5, A lot (required more than a few days off work or school, or significantly limited ability to socialise)",,,,,,"[sensory] = '1'",y,,,,,
dissociation,survey,,yesno,"<div class=""rich-text-field-label""><p>Have you ever had dissociation (derealization or depersonalisation)?<br><span style=""font-weight: normal;"">This can include feeling like being in a dream while you are awake, like you are not quite in your own body, like you are not quite in the world, or that it is as though there is a veil between you and the world.</span></p></div>",,,,,,,,y,,,,,
dissociation_n_occurrences,survey,,radio,"<div class=""rich-text-field-label""><p>How many times has this happened in your life?</p> <ul> <li><span style=""font-weight: normal;"">If the symptom(s) was coming and going over short periods, count it as one instance</span></li> <li><span style=""font-weight: normal;"">If the symptom(s) resolved completely for a substantial amount of time then came back, count it as a different instance</span></li> </ul></div>","1, Only once | 2, 2 or 3 times | 3, 4 - 6 times | 4, 7 -10 times | 5, More than 10 times",,,,,,"[dissociation] = '1'",y,,,,,
dissociation_duration,survey,,radio,"<div class=""rich-text-field-label""><p>How long did the longest of these symptoms last for?</p> <p><span style=""font-weight: normal;"">Count symptoms that were coming and going over short timeframes as one instance.</span></p></div>","1, Less than a minute | 2, A few minutes | 3, More than a few minutes, but less than an hour | 4, More than an hour, but less than a day | 5, One day to one week | 6, One week to one month | 7, One month to three months | 8, Three months to a year | 9, More than a year",,,,,,"[dissociation] = '1'",y,,,,,
dissociation_impact,survey,,radio,"<div class=""rich-text-field-label""><p>At its worst, how much did this symptom impact on your work, education, or social life?</p></div>","1, Not at all | 2, Slightly (eg, felt uncomfortable at work or school, or while socialising) | 3, A little (made work, education, or socialising difficult) | 4, Quite a lot (required up to a few days off work or school, or limited ability to socialise in certain situations) | 5, A lot (required more than a few days off work or school, or significantly limited ability to socialise)",,,,,,"[dissociation] = '1'",y,,,,,
goodbye_message,survey," ",descriptive,"<div class=""rich-text-field-label""><h3>Survey complete</h3> <p><span style=""font-weight: normal;"">Thank you for your participation. Please click 'Submit' to end the survey.</span></p> <p> </p></div>",,,,,,,,,,,,,
